text1,text2,Similarity Score
broadband challenges tv viewing the number of europeans with broadband has exploded over the past 12 months  with the web eating into tv viewing habits  research suggests.  just over 54 million people are hooked up to the net via broadband  up from 34 million a year ago  according to market analysts nielsen/netratings. the total number of people online in europe has broken the 100 million mark. the popularity of the net has meant that many are turning away from tv  say analysts jupiter research. it found that a quarter of web users said they spent less time watching tv in favour of the net  the report by nielsen/netratings found that the number of people with fast internet access had risen by 60% over the past year.  the biggest jump was in italy  where it rose by 120%. britain was close behind  with broadband users almost doubling in a year. the growth has been fuelled by lower prices and a wider choice of always-on  fast-net subscription plans.  twelve months ago high speed internet users made up just over one third of the audience in europe; now they are more than 50% and we expect this number to keep growing   said gabrielle prior  nielsen/netratings analyst.  as the number of high-speed surfers grows  websites will need to adapt  update and enhance their content to retain their visitors and encourage new ones.  the total number of europeans online rose by 12% to 100 million over the past year  the report showed  with the biggest rise in france  italy  britain and germany.  the ability to browse web pages at high speed  download files such as music or films and play online games is changing what people do in their spare time.  a study by analysts jupiter research suggested that broadband was challenging television viewing habits. in homes with broadband  40% said they were spending less time watching tv. the threat to tv was greatest in countries where broadband was on the up  in particular the uk  france and spain  said the report. it said tv companies faced a major long-term threat over the next five years  with broadband predicted to grow from 19% to 37% of households by 2009.  year-on-year we are continuing to see a seismic shift in where  when and how europe s population consume media for information and entertainment and this has big implications for tv  newspaper and radio   said jupiter research analyst olivier beauvillian.,gardener wins double in glasgow britain s jason gardener enjoyed a double 60m success in glasgow in his first competitive outing since he won 100m relay gold at the athens olympics.  gardener cruised home ahead of scot nick smith to win the invitational race at the norwich union international. he then recovered from a poor start in the second race to beat swede daniel persson and italy s luca verdecchia. his times of 6.61 and 6.62 seconds were well short of american maurice greene s 60m world record of 6.39secs from 1998.  it s a very hard record to break  but i believe i ve trained very well   said the world indoor champion  who hopes to get closer to the mark this season.  it was important to come out and make sure i got maximum points. my last race was the olympic final and there was a lot of expectation.  this was just what i needed to sharpen up and get some race fitness. i m very excited about the next couple of months.   double olympic champion  marked her first appearance on home soil since winning 1500m and 800m gold in athens with a victory. there was a third success for britain when  edged out russia s olga fedorova and sweden s jenny kallur to win the women s 60m race in 7.23secs. maduaka was unable to repeat the feat in the 200m  finishing down in fourth as  took the win for russia. and the 31-year-old also missed out on a podium place in the 4x200m relay as the british quartet came in fourth  with russia setting a new world indoor record. there was a setback for jade johnson as she suffered a recurrence of her back injury in the long jump. russia won the meeting with a final total of 63 points  with britain second on 48 and france one point behind in third.  led the way for russia by producing a major shock in the high jump as he beat olympic champion stefan holm into second place to end the swede s 22-event unbeaten record.  won the triple jump with a leap of 16.87m  with britain s tosin oke fourth in 15.80m.  won the men s pole vault competition with a clearance of 5.65m  with britain s nick buckfield 51cm adrift of his personal best in third. and  won the women s 800m  with britain s jenny meadows third. there was yet another russian victory in the women s 400m as  finished well clear of britain s catherine murphy. chris lambert had to settle for fourth after fading in the closing stages of the men s 200m race as sweden s  held off leslie djhone of france. france s  won the men s 400m  with brett rund fourth for britain.  took victory for sweden in the women s 60m hurdles ahead of russia s irina shevchenko and britain s sarah claxton  who set a new personal best. italy grabbed their first victory in the men s 1500m as  kicked over the last 200 metres to hold off britain s james thie and france s alexis abraham. a botched changeover in the 4x200m relay cost britain s men the chance to add further points as france claimed victory.,0.62
rap boss arrested over drug find rap mogul marion  suge  knight has been arrested for violating his parole after he was allegedly found with marijuana.  he was arrested in barstow  california  on saturday following an alleged traffic offence. he is expected to be transferred to a state prison while a decision is made on whether he should be released. mr knight  founder of death row records  served a 10-month jail term in 2004 for punching a man while on parole for an assault conviction. police said mr knight was stopped on saturday after performing an illegal u-turn and a search of his car allegedly found marijuana.  he is also accused of not having insurance. a 18-year-old woman in the car was arrested for providing false information and having a fake id card. she was later released. it was his second alleged violation  having previously served half of a nine-year sentence for breaking the terms of his parole. mr knight  39  was jailed in october 1996 following his involvement in a fight with a rival gang just hours before rapper tupac shakur was killed in a las vegas drive-by shooting. he was driving shakur s car at the time and was shot in the head. at the time he was on probation for assaulting two musicians. mr knight  a former bodyguard  set up death row records in the early 1990s with shakur and dr dre among his protegees. but the label has always been dogged by allegations it supports gang culture and fuels the east and west coast rap rivalry.,amnesty chief laments war failure the lack of public outrage about the war on terror is a powerful indictment of the failure of human rights groups  amnesty international s chief has said.  in a lecture at the london school of economics  irene khan said human rights had been flouted in the name of security since 11 september  2001. she said the human rights movement had to use simpler language both to prevent scepticism and spread a moral message. and it had to fight poverty  not just focus on political rights for elites.  ms khan highlighted detentions without trial  including those at the us camp at guantanamo bay in cuba  and the abuse of prisoners as evidence of increasing human rights problems.  what s a new challenge is the way in which this age-old debate on security and human rights has been translated into the language of war   she said.  by using the language of war  human rights are being sidelined because we know human rights do not apply in times of war.  ms khan said such breaches were infectious and were now seen in almost very major country in the world.  the human rights movement faces a crisis of faith in the value of human rights   she said. that was accompanied by a crisis of governance  where the united nations system did not seem able to hold countries to account.  the amnesty secretary-general said a growing gap between the perceived influence of human rights group and what they could actually achieve was fuelling scepticism.  public passivity on the war against terror is the single most powerful indictment on the failures of human rights groups   she said. ms khan said the movement had failed to mobilise public outrage about what was happening to the human rights system. there needed to be a drive to use simpler language  talking about the basic morality of the issues rather than the complexity of legal processes. such efforts could make the issues more relevant to people across the world  she said.  the human rights groups also had to recognise there were new groups which had to be tackled in new ways as power dripped away from state governments. al-qaeda  for example  was not going to be impressed by a traditional amnesty letter writing campaign. more also needed to be done to develop a human rights framework for international business corporations. amnesty international members voted in 2001 to extend the organisation s work from political and civil rights to cover social and economic rights too. ms khan said the human rights movement would make itself irrelevant if it turned away from the suffering caused by economic strife.  we would be an elitist bunch working for the elites  for those who cannot read the newspaper of their choice rather than those who cannot read   she said. despite her concerns  ms khan dubbed herself a  hope-monger   saying she was confident the passions of the human rights movement could overcome the new challenges.,0.65
player burn-out worries robinson england coach andy robinson says english rugby has to act now to prevent injury destroying players  careers.  he will be without a host of big names for the six nations as the intensity of professional rugby union hits players.  injuries are part of the sport but we have to have a look at the amount of injuries that occur in the english season   robinson told bbc sport.  i think players are probably going to have three or four years taken off their careers.  robinson will be missing an entire midfield for the six nations with the likes of jonny wilkinson  mike tindall and will greenwood injured.  rugby union has become far more physically demanding since the game went professional nearly 10 years ago. as a result three of the major stakeholders in english rugby have launched an  injury audit  to find out how players are coping. the audit is jointly funded by the professional rugby players  association  the rugby football union and premier rugby. as far as robinson is concerned its findings must not be ignored.  i think there s an injury audit coming out in march that s got some great information in there that i think everybody in the english game has got to look at   he said.  if we don t the situation is going to get worse and not better  so i think rugby as a whole has got to look at this.,hanks greeted at wintry premiere hollywood star tom hanks was in london s leicester square for the uk premiere of polar express.  the west end landmark was turned into a festive landscape complete with snow and carol singers to celebrate the arrival of the animated film.  this is leicester square like you ve never seen it before   said hanks  who plays five roles in the movie. polar express is based on a children s book which tells the story of a young boy s journey to meet santa claus. the 48-year-old actor crossed a three-metre high bridge built in the square  which he said was  almost impossible to get across . hundreds of fans greeted the star  all wearing santa hats  and mince pies were on offer. hanks said that the new film has an  elegant message .  christmas is a special time of the year and you get out of it what you put into it   added the two-time academy award winner.   i believe in the spirit of christmas and i think that s embodied in santa claus   he said. polar express uses technology similar to that used in lord of the rings to bring gollum to life. the  performance capture  technique enables hanks to play a number of roles  including the eight-year-old boy who is at the centre of the story  and father christmas. it is directed by robert zemeckis  who has previously worked with hanks on forrest gump and castaway.,0.57
hearts of oak 3-2 cotonsport hearts of oak set up an all ghanaian confederation cup final with a 3-2 win over cameroon s cotonsport garoua in accra on sunday.  the win for hearts means they will play asante kotoko in the two-leg final  after the kumasi team qualified from group a on saturday. in the other group b game cameroon s  beat  of south africa 3-2 in douala  neither side could have qualified for the final. hearts of oak started the game needing a win to qualify for the final while cotonsport only needed to avoid defeat to go through. louis agyemang scored the first two goals for hearts either side of half time before ben don bortey scored the third. hearts looked set for a comfortable win but cotonsport staged a late fight back scoring twice late on. first of all boukar makaji scored in the 89th minute and then 3 minutes into injury time at the end of the game andre nzame iii was on target. but it was too little too late for the cameroonians and hearts held on to win the game and a place in the final. the first leg of the final will be played in accra on the weekend of 27-28 november and the second leg two weeks later on the 11 december in kumasi. in the other group b game cameroon s sable batie took the lead in the 35th minute through kemadjou before santos equalised on the hour mark thanks to thokozani xaba . bernard ngom put sable ahead just five minutes later and then ernest nfor settled the game on 68 minutes. ruben cloete scored the south african sides consolation with just three minutes left on the clock.,redford s vision of sundance despite sporting a corduroy cap pulled low over his face plus a pair of dark glasses  robert redford cuts an unmistakable figure through the star-struck crowds at sundance.  it s a rare downtown appearance for the man who started the annual festival in park city  utah back in the 1980s. now in its twenty-first year  sundance continues to grow. some 45 000 people are estimated to have descended on this small ski town with nothing but movies on the mind. it s an opportunity to meet and make deals. redford wanted sundance to be a platform for independent film-makers  but the commercial success of many showcased films have led to criticism that the festival is becoming too mainstream.  smaller festivals like slamdance and xdance  which take place during the same week in park city  are competing for sundance s limelight. but redford is not worried.  the more the merrier   he says.  the point was to create opportunities for people who may not have them.  once independent film had a place where the work could be seen  suddenly the merchants came. with them the celebrities came  then the paparazzi - and suddenly it began to take on a whole new tone   explains redford.   people started to say we had gone mainstream and hollywood  but actually hollywood came to us because suddenly there was good business in independent film   he adds. international film-makers have always been celebrated here  but 2005 is the first year a dedicated world dramatic and documentary competition is being held.  redford wants the festival to encompass viewpoints he believes the american media fails to reflect  particularly how the us is perceived internationally. he has never hidden the fact that he is a democrat. but he reserves particular disdain for the current republican administration.  it s the ability to maintain the importance of dissent in a democratic system which right now is under threat with the attitude of this administration   he says.  i think many voices are being shut down or accused of being unpatriotic if they want to express another point of view. that s very unhealthy and very dangerous.   if we take that policy into the world  there will be the same victims and the same consequences.  sundance isn t just one big screening. there are discussion panels and q&a sessions with directors tackling controversial topics like america s  culture wars  and the iraq war. while redford wishes the festival to be a forum for dissent  the profile of the audience is fairly monolithic. educated  middle class and predominantly white americans comes sundance  with views from the same end of the political spectrum - anti-war and socially liberal. but redford knows this and started the sundance tv channel in an effort to reach a wider audience.  when you look at the films here  what we are presenting is very much egalitarian. and it s about good films and good story-telling be it african america  asian  women  gay  lesbian.  sooner or later we will do away with those stereotypical labels and people will say  it s just a film by so-and so .,0.55
sir paul rocks super bowl crowds sir paul mccartney wowed fans with a live mini-concert at american football s super bowl - and avoided any janet jackson-style controversies.  the 62-year-old sang hey jude and other beatles songs in a 12-minute set at half-time during the game in florida. last year  jackson exposed a breast during a dance routine  causing outrage among millions of tv viewers and landing the cbs tv network a fine. sir paul  however  did nothing more racy than remove his jacket as he sang. organisers were widely considered to be playing it safe this year by booking 62-year-old sir paul for his second super bowl show.  three years ago  he was invited to perform at the first super bowl after the september 11 attacks and performed his specially-written song freedom. this time  he started off the show  at the alltel stadium in jacksonville  florida  with the beatles numbers drive my car and get back. he then performed a mellow version of live and let die  the james bond theme he recorded with the band wings. finally  he closed the show with a rousing version of hey jude. the former beatle resisted any temptation to refer to janet jackson s headline-grabbing performance last year  instead keeping banter between songs to a minimum in order to squeeze as much music as he could into his slot. the singer removed his black jacket halfway through the show - but any fans hoping for a second  nipple-gate  were to be disappointed as he kept his red sweatshirt on underneath.  earlier  the black eyed peas and alicia keys had provided the night s other high-profile entertainment by performing in a pre-game show. black eyed peas singer fergie was dressed in a tight orange top and purple hotpants  but nothing in her performance was likely to upset tv watchdogs. after the controversy last year - which saw cbs fined a record $550 000 (£292 000) by federal regulators - super bowl organisers had turned to producer don mischer to oversee this year s half-time show. his previous production credits included olympic opening and closing ceremonies. the super bowl is watched by an audience of 144.4 million in the us  with many of the people watching are said to tune in specifically to see the entertainment put on around the event. michael jackson  aerosmith  diana ross  gloria estefan and phil collins are among the stars who have previously graced the super bowl stage.,mauresmo opens with victory in la amelie mauresmo and maria sharapova won their opening matches at the tour championships in los angeles.  france s mauresmo routed vera zvonareva 6-1 6-0  while wimbledon champion sharapova was a 6-1 6-4 winner over fellow russian svetlana kuznetsova. american serena williams also won  edging russian elena dementieva 7-6 7-5 for her second victory of the event. the event is split into two groups of four with the top two from each advancing to the semi-finals.  mauresmo s win was her ninth in a row as she tries to overtake lindsay davenport for the number one spot. mauresmo spent five weeks at number one after the us open before injury ushered davenport back in front.  since then  i feel very confident on court and my game is there. i want to get the ranking back  but it s very different than before i was number one.  it was an obsession  but now i take it in a relaxed way.  mauresmo completed her first match in the season-ending championship in 54 minutes as russia s zvonareva struggled to return her serve and failed to achieve a single break point.   she got mad a little bit and i played some great tennis   said mauresmo  who was runner-up to kim clijsters in last year s final. zvonareva has lost both her games so far  having crashed 6-2 6-4 kuznetsova in the staples centre on wednesday.  sometimes not everything works   she said.  it was lots of pressure. maybe that is why i couldn t do 100%. but i was fighting.  sharapova  who lost 6-2 6-2 to kuznetsova in beijing in september  said:  in beijing  she was coming off such a big winning streak [14 matches] and she was unstoppable.  this time  it was important to start off well and put some pressure on her.  the tournament debutant added:  i love it here. the atmosphere is great.  to be here where the lakers play  you just feel that excitement. i love basketball.  williams admitted she is still some way off her best form but remained positive after two wins in two days.  it s hard to go out there and get it right but i m fighting and i m hoping   said williams.  what makes me happy is the effort. i had a really good effort today.  i m trying to add new dimensions to my game.,0.65
india to deport bollywood actress india has ordered the deportation of iranian-born model and actress negar khan to norway after saying she was working illegally on her visa.  khan has had raunchy roles in music videos and bollywood films over the past two years. the distressed actress told media she was being driven straight to the airport after a routine appointment at the bombay immigration office. immigration officials said she had been warned about her visa last year.  khan told an indian news channel on her mobile phone:  they are not even letting me go home to get my bags. i have no clothes or money on me.  they did not give me any notice. i don t know why they are taking me away like this. there is nothing wrong with my visa. it says i work here... they are not allowing me to even call a lawyer.  bipin bihari  deputy police chief in bombay  said khan was being sent back to norway  from which she holds a passport  on the first available flight.  she was on a visitor s visa but she has engaged in several commercial ventures   he said.  we issued notices last year  in view of which she had gone back to norway  but she has returned again this year to work.  one of khan s biggest successes was the steamy hindi song chadti jawani (rising youth). khan was involved in controversy when topless photos alleged to be of her appeared in a norwegian magazine.,fosters buys stake in winemaker australian brewer fosters has bought a large stake in australian winemaker southcorp  sparking rumours of a possible takeover.  fosters bought 18.8% of southcorp  the global winemaker behind the penfolds  lindemans and rosemount brands  for 4.17 australian dollars per share. a bid at that price would value the company at a$3.1bn ($2.4bn; £1.25bn ). fosters said it was currently in discussions  which may lead to a major corporate announcement .  in a separate statement  southcorp confirmed the brewer had asked for talks. both firms asked the sydney stock market to suspend trading in their shares until monday. southcorp s shares were suspended at a$4.25.  fosters bought the 18.8% stake from reline investments  the family investment firm for the oatleys  who founded the rosemount estates label and sold it to southcorp in 2001. robert oatley and his son sandy oatley have both resigned from southcorp s board following the share deal. southcorp employs 2 700 people and is the largest single investor in rural australia  according to its website. the prospect of fosters launching a major acquisition startled investors  as the brewer said last summer that it was not looking to expand through a big buy in the near future. it has cash available  after getting a$846m from selling property business lensworth  but it has been widely expected to return cash to shareholders.   people will scratching their heads over this one. fosters has done a back-flip   said shawn burns  a fund manger at deutsche asset management. southcorp s shares have risen in recent months on speculation that it could become a takeover target. it spent two years in the red  returning to profit in 2004. consolidation in the wine industry is being driven by constellation  the world s biggest winemaker. it seized the top spot when it bought australian firm brl hardy for just over $1bn in 2003. since then  it has paid $1bn for us wine maker robert mondavi  bought last month. fosters  main wine business is beringer blass wine estate. its best known brand is fosters lager  though it makes a clutch of beer brands  and spirits. analysts were divided on thursday about whether fosters was more likely to go for a takeover or merely wanted to take a big enough chunk of southcorp to prevent it falling to a rival.  currently  i think the strategic position is more sensible rather than an outright takeover   said one analyst quoted by the agence france presse news agency. however  matt williams  a fund manager at perpetual trustees said taking the stake  is definitely a precursor to a takeover .,0.53
mutant book wins guardian prize a book about the evolution of mutants and the science of abnormality has won the guardian first book award 2004.  armand marie leroi  a lecturer at london s imperial college  scooped the £10 000 prize for mutants: on the form  varieties and errors of the human body.  it is profoundly cultured and beautifully written in the very best tradition of popular science writing today   said judge claire armistead. the award recognises and rewards new writing across fiction and non-fiction. a panel of literary experts  including novelists hari kunzru and ali smith  director sir richard eyre and comedian alexei sayle chose the winner from a five-strong shortlist.  the shortlist included susanna clarke s jonathan strange and mr norrell  a novel about the magic arts at the turn of the 19th century and the places in between  rory stewart s account of his trek  on foot  across afghanistan.  what we found so impressive about armand marie leroi s book was the scope of its reference  its elegance and its inquisitiveness   said ms armistead  chair of the judges and the guardian literary editor.  while the subject matter of mutants unsettled some involved in the judging process  the overwhelming majority found it fascinating   she added. her words were echoed by iris director sir richard eyre who called marie leroi s work  extraordinarily thought provoking . the award  for first time authors  is open to books from genres including fiction  poetry  biography  memoir  history  politics  science and current affairs. previous winners include white teeth by zadie smith  in 2000  which went on to become a bestseller.,jp morgan admits us slavery links thousands of slaves were accepted as collateral for loans by two banks that later became part of jp morgan chase.  the admission is part of an apology sent to jp morgan staff after the bank researched its links to slavery in order to meet legislation in chicago. citizens bank and canal bank are the two lenders that were identified. they are now closed  but were linked to bank one  which jp morgan bought last year. about 13 000 slaves were used as loan collateral between 1831 and 1865.  because of defaults by plantation owners  citizens and canal ended up owning about 1 250 slaves.  we all know slavery existed in our country  but it is quite different to see how our history and the institution of slavery were intertwined   jp morgan chief executive william harrison and chief operating officer james dimon said in the letter.  slavery was tragically ingrained in american society  but that is no excuse.   we apologise to the african-american community  particularly those who are descendants of slaves  and to the rest of the american public for the role that citizens bank and canal bank played.   the slavery era was a tragic time in us history and in our company s history.  jp morgan said that it was setting up a $5m scholarship programme for students living in louisiana  the state where the events took place. the bank said that it is a  very different company than the citizens and canal banks of the 1800s .,0.62
aids and climate top davos agenda climate change and the fight against aids are leading the list of concerns for the first day of the world economic forum in the swiss resort of davos.  some 2 000 business and political leaders from around the globe will listen to uk prime minister tony blair s opening speech on wednesday. mr blair will focus on africa s development plans and global warming. earlier in the day came an update on efforts to have 3 million people on anti-aids drugs by the end of 2005. the world health organisation (who) said 700 000 people in poor countries were on life-extending drugs - up from 440 000 six months earlier but amounting to only 12% of the 5.8 million who needed them. a $2bn  funding gap  still stood in the way of hitting the 2005 target  the who said.  the themes to be stressed by mr blair - whose attendance was announced at the last minute - are those he wants to dominate the uk s chairmanship of the g8 group of industrialised states. other issues to be discussed at the five-day conference range from china s  economic power to iraq s future after this sunday s elections. aside from mr blair  more than 20 other world leaders are expected to attend including french president jacques chirac - due to speak by video link after bad weather delayed his helicopter - and south african president thabo mbeki  whose arrival has been delayed by ivory coast peace talks. the ukraine s new president  viktor yushchenko  will also be there - as will newly elected palestinian leader mahmoud abbas. showbiz figures will also put in an appearance  from u2 frontman bono - a well-known campaigner on trade and development issues - to angelina jolie  a goodwill campaigner for the un on refugees.  unlike previous years  protests against the wef are expected to be muted. anti-globalisation campaigners have called off a demonstration planned for the weekend. at the same time  about 100 000 people are expected to converge on the brazilian resort of porto alegre for the world social forum - the so-called  anti-davos  for campaigners against globalisation  for fair trade  and many other causes.  in contrast  the davos forum is dominated by business issues - from outsourcing to corporate leadership - with bosses of more than a fifth of the world s 500 largest companies scheduled to attend. a survey published on the eve of the conference by pricewaterhousecoopers said four in ten business leaders were  very confident  that their companies would see sales rise in 2005. asian and american executives  however  were much more confident than their european counterparts. but the political discussions  focusing on iran  iraq and china  are likely to dominate media attention.,howl helps boost japan s cinemas japan s box office received a 3.8% boost last year  with ticket sales worth 211bn yen (£1.08bn).  the surge was led by animated movie howl s moving castle  which took 20bn yen (£102m) to become the biggest film in japan in 2004. it is expected to match the 30.7bn yen (£157m) record of hayao miyazaki s previous film spirited away. japan motion picture producers figures showed that 170 million cinema admissions were made in japan in 2004. the last samurai  starring tom cruise  was the biggest foreign movie hit in japan last year  taking 13.8bn yen (£70.7m).  it was followed by harry potter and the prisoner of azkaban  finding nemo and the lord of the rings: the return of the king. the second highest-grossing japanese film was romantic drama crying out love in the centre of the world  followed by be with you and pocket monsters advanced generation. japanese films accounted for 37.5% of japan s box office total last year  with foreign films taking the remaining 62.5%. this represented a 4.5% gain for the proportion of japanese films in 2004 compared to 2003. the number of japanese films released rose to 310 in 2004 from 287 the previous year. sales of movies on dvd and video amounted to 497bn yen (£2.54bn) for the year.,0.72
kennedy predicts bigger turnout voters   pent up passion  could confound predictions of a low turnout in the coming general election  charles kennedy has said.  the liberal democrat leader predicted concerns over iraq and other international and domestic issue would express themselves during the campaign. his comments come as an inquiry looks at how best to boost voter turnouts. ex-foreign secretary robin cook said people were not apathetic but fed up of  pager politics  and not being heard. he  like mr kennedy  pointed to the hundreds of thousands of people who demonstrated against plans for the iraq war.  mr cook  who is giving evidence to the power inquiry into voter turnout rates  told bbc radio 4 s today programme it was not fair to blame the public who were  more interested in politics than ever before .  they are turned off by the way we do politics in britain. there s a message there for politicians.  he urged politicians to avoid negative campaigning and to  speak more from the heart .  we should be not so afraid to say what we stand for.  he also criticised the cult of personality politics:  there s far too much interest in celebrities.  politics are in danger of becoming another branch of the celebrity industry.  the government has tried a number of things in an attempt to boost voter turnout  which fell to 59% in the last general election in 2001. this has included bringing in directly elected mayors to head local authorities and trialling postal voting.,ocean s twelve raids box office ocean s twelve  the crime caper sequel starring george clooney  brad pitt and julia roberts  has gone straight to number one in the us box office chart.  it took $40.8m (£21m) in weekend ticket sales  according to studio estimates. the sequel follows the master criminals as they try to pull off three major heists across europe. it knocked last week s number one  national treasure  into third place. wesley snipes  blade: trinity was in second  taking $16.1m (£8.4m). rounding out the top five was animated fable the polar express  starring tom hanks  and festive comedy christmas with the kranks.  ocean s twelve box office triumph marks the fourth-biggest opening for a december release in the us  after the three films in the lord of the rings trilogy. the sequel narrowly beat its 2001 predecessor  ocean s eleven which took $38.1m (£19.8m) on its opening weekend and $184m (£95.8m) in total. a remake of the 1960s film  starring frank sinatra and the rat pack  ocean s eleven was directed by oscar-winning director steven soderbergh. soderbergh returns to direct the hit sequel which reunites clooney  pitt and roberts with matt damon  andy garcia and elliott gould. catherine zeta-jones joins the all-star cast.  it s just a fun  good holiday movie   said dan fellman  president of distribution at warner bros. however  us critics were less complimentary about the $110m (£57.2m) project  with the los angeles times labelling it a  dispiriting vanity project . a milder review in the new york times dubbed the sequel  unabashedly trivial .,0.64
carry on star patsy rowlands dies actress patsy rowlands  known to millions for her roles in the carry on films  has died at the age of 71.  rowlands starred in nine of the popular carry on films  alongside fellow regulars sid james  kenneth williams and barbara windsor. she also carved out a successful television career  appearing for many years in itv s well-loved comedy bless this house. rowlands died in hove on saturday morning  her agent said.  born in january 1934  rowlands won a scholarship to the guildhall school of speech and drama scholarship when she was just 15.  after spending several years at the players theatre in london  she made her film debut in 1963 in tom jones  directed by tony richardson. she made her first carry on film in 1969 where she appeared in carry on again doctor. rowlands played the hard-done-by wife or the put-upon employee as a regular carry on star. she also appeared in carry on at your convenience  carry on matron and carry on loving  as well as others.  in recent years she appeared in bbc mini-series the cazalets and played mrs potts in the london stage version of beauty and the beast. agent simon beresford said:  she was just an absolutely favourite client she never complained about anything  particularly when she was ill  she was an old trouper.  she was of the old school - she had skills from musical theatre and high drama  that is why she worked with the great and the good of directors.  she didn t mind always being recognised for the carry on films because she thoroughly enjoyed making them. she was a really lovely person and she will be much missed.  her last appearance on stage was as mrs pearce in the award-winning production of my fair lady at the national theatre. previously married  she leaves one son  alan. her funeral will be a private  family occasion  with a memorial service at a later date.,uk broadband gets speed injection broadband s rapid rise continues apace as speeds gear up a notch.  an eight megabit service has been launched by internet service provider uk online. it is 16 times faster than the average broadband package on the market and will pave the way for services such as video-on-demand and broadband tv. the service is possible due to a new regime which allows other operators to use bt s exchanges and will initially only be available in towns.  it represents a  big leap forward  for broadband  said chris stening  uk online general manager.  the service comes with a hefty £39.99 monthly price tag but will mean users can download mp3s in seconds and offers tv-quality video streaming. the service includes wifi as standard  meaning users can connect multiple pcs  laptops and game consoles from any room in the house. not everybody will be able to take advantage of the service  as it will be restricted to metropolitan areas. the service will initially be available to users within 2km radius of 230 telephone exchanges in areas such as london  birmingham  glasgow and cambridge. that represents about 4.4 million households. the service is possible due to a decision to loosen bt s strangle-hold on telephone exchanges.  the process  known as local loop unbundling  was put in motion by the now defunct telecoms watchdog oftel but has only proved popular in recent months due to falling costs. uk online is looking at the possibility of bundling services such as cheap net telephone calls  video-on-demand and tv by 2005 if the service proves popular.  the service is twice as fast as any other service on offer in the uk and 16 times faster than most broadband services   said mr stening.  it takes a big leap for broadband and we are very excited about it   he said. countries such as south korea and france have found the advantage of upping the speeds of broadband. in south korea  video-on-demand over the net is cheaper than renting a dvd and online gaming is huge. mr stening believes the service will appeal to people in multi-occupancy buildings as well as easing family arguments.  a typical family with two adults and two children is currently sharing a 512 kilobit service. this will basically give them 2 megabits each   he said.,0.61
